parameter,identified,stage,source_value,reproduced,rel_error_pct
m_tractor_kg,5039.9,A,,,
r_k_m,0.5376,A,,,
I_k_kgm2,4158.56145825003,B,,,
D_kch_Nms_per_rad,5477.611908822551,B,,,
E_engine_J,,A-target,53370000.0,52335676.7548941,-1.9380236932844288
P_mean_W,,A-target,88950.0,87226.1279248235,-1.938023693284437
M_mean_Nm,,A-target,3835.0,3965.3706155765167,3.3994945391529776
distance_m,,A-target,7582.0,7481.07883244032,-1.3310626161920314
v_mean_m_s,,A-target,12.536,12.468464765103729,-0.5387303358030676
v_end_m_s,,A-target,13.058,13.097563019802864,0.3029791683478534
F_kch_peak_N rigid (m_v=1250 kg),,B-target,39460.0,41565.53457669992,5.3358706961477855
F_kch_peak_N rigid (m_v=2500 kg),,B-target,45470.0,44860.704714897205,-1.3399940292562016
F_kch_peak_N rigid (m_v=3750 kg),,B-target,50270.0,49637.75244792875,-1.2577035052143364
F_kch_peak_N rigid (m_v=5000 kg),,B-target,53750.0,51888.25194372269,-3.4637173140043025
F_kch_peak_N compliant (m_v=1250 kg),,B-target,38530.0,38960.36096379388,1.1169503342690863
F_kch_peak_N compliant (m_v=2500 kg),,B-target,41630.0,41620.05797596878,-0.0238818737237988
F_kch_peak_N compliant (m_v=3750 kg),,B-target,46220.0,43002.57644402216,-6.961106784893652
F_kch_peak_N compliant (m_v=5000 kg),,B-target,48770.0,45286.42463356781,-7.142865217207688
